scrape_date,scrape_time,strain_name,strain_type,website,strain_highlights,num_ratings,avg_rating,num_of_review,flavor_one,flavor_two,flavor_three,effect_one,effect_one_score,effect_two,effect_two_score,effect_three,effect_three_score,effect_four,effect_four_score,effect_five,effect_five_score,medical_one,medical_one_score,medical_two,medical_two_score,medical_three,medical_three_score,medical_four,medical_four_score,medical_five,medical_five_score,ailment_one,ailment_two,ailment_three,ailment_four,ailment_five,negative_one,negative_one_score,negative_two,negative_two_score,negative_three,negative_three_score,negative_four,negative_four_score,negative_five,negative_five_score,most_popular_one,most_popular_two,most_popular_three,most_popular_four,most_popular_five,most_popular_six,most_popular_seven,most_popular_eight,most_popular_nine,most_popular_ten
05/04/2014,17:26:21,Afwreck,Hybrid,http://www.leafly.com/hybrid/afwreck,Afwreck is a hybrid cross of Afghani and Trainwreck.  Strong sativa effects with immediate head-concentrated high.,72,4.1,50,Earthy,Lavender,Minty,Euphoric,92.4,Happy,56.0,Hungry,59.2,Relaxed,60.7,Uplifted,76.1,Insomnia,44.1,Muscle Spasms,36.3,Nausea,74.2,Pain,50.4,Stress,83.4,Anxiety,PMS,Fibromyalgia,Migraines,,Dizzy,12.8,Dry Mouth,32.0,Dry Eyes,24.7,Headache,8.9,Paranoid,5.3,"Bellevue, WA","Cottonwood, AZ","Gilbert, AZ","Olympia, WA","Portland, OR","Prescott Valley, AZ",,,,
05/04/2014,17:26:21,Agent Orange,Hybrid,http://www.leafly.com/hybrid/agent-orange,Agent Orange has a nice smell with hints of oranges and other citrus.  A motivating and happy buzz that leaves you smiling.  Agent Orange has even been known to make the bong water smell like oranges.,179,3.9,124,Orange,Citrus,Sweet,Creative,45.7,Energetic,62.3,Euphoric,48.0,Happy,82.7,Uplifted,69.3,Depression,38.5,Fatigue,18.0,Nausea,15.4,Pain,36.6,Stress,59.4,Anxiety,Migraines,PTSD,ADD/ADHD,Arthritis,Dizzy,7.9,Dry Mouth,45.0,Dry Eyes,28.2,Headache,5.6,Paranoid,8.8,"Denver, CO","Portland, OR","Los Angeles, CA","San Diego, CA","Seattle, WA",CO,"Mesa, AZ","Phoenix, AZ","Salem, OR","Ann Arbor, MI"
05/04/2014,17:26:21,AK-47,Hybrid,http://www.leafly.com/hybrid/ak-47,"Don't let the scary name fool you, AK-47 will leave you relaxed and mellow.  Generally a strain that contains a high amount of THC great for hanging out with friends and watching movies.  Newbies be careful, too much and you will end up glued to the couch.",840,3.9,533,Pine,Skunk,Earthy,Creative,45.2,Euphoric,70.8,Happy,73.7,Relaxed,59.9,Uplifted,59.9,Depression,39.0,Insomnia,25.9,Nausea,16.7,Pain,52.1,Stress,63.1,Anxiety,Migraines,ADD/ADHD,Arthritis,Fibromyalgia,Dizzy,17.5,Dry Mouth,49.4,Dry Eyes,29.9,Headache,10.7,Paranoid,15.7,"Seattle, WA","Denver, CO","Portland, OR","Los Angeles, CA","Eugene, OR","Everett, WA","Boulder, CO","Colorado Springs, CO","Lansing, MI","Phoenix, AZ"
05/04/2014,17:26:22,AK-48,Hybrid,http://www.leafly.com/hybrid/ak-48,"Although it is a hybrid, the AK-48 high leans more towards typical sativa effects.  AK-48's parents are Ice and Jock Horror.  Its Ice mother has ancestors of Afghani, Skunk, Northern Lights and Shiva stock.",59,3.8,63,Mango,Blueberry,Pineapple,Creative,46.5,Euphoric,64.7,Happy,88.8,Relaxed,85.6,Sleepy,47.5,Depression,36.4,Headaches,61.9,Nausea,47.9,Pain,44.3,Stress,68.5,Anxiety,Migraines,ADD/ADHD,Crohn's Disease,Gastrointestinal Disorder,Dizzy,3.4,Dry Mouth,49.5,Dry Eyes,13.8,Headache,5.3,Paranoid,5.7,"Denver, CO","Colorado Springs, CO","Lansing, MI","Yavapai County, AZ",,,,,,
05/04/2014,17:26:22,Alaska,Hybrid,http://www.leafly.com/hybrid/alaska,"Alaska, developed by Tikun Olam, is an Israeli strain comprised of 70 percent sativa genetics. With uplifting effects intended for daytime consumption, Alaska has been found to successfully treat an array of medical symptoms including inflammation, pain, nausea, insomnia, and gastrointestinal disorders. ",6,4.3,1,Berry,Spicy/Herbal,Chemical,Creative,62.5,Euphoric,50.0,Happy,50.0,Relaxed,62.5,Uplifted,62.5,Depression,25.0,Eye Pressure,12.5,Headaches,25.0,Nausea,25.0,Stress,25.0,Arthritis,Migraines,ADD/ADHD,Anorexia,Anxiety,Dizzy,12.5,,,,,,,,,,,,,,,,,,
05/04/2014,17:26:23,Albert Walker,Hybrid,http://www.leafly.com/hybrid/albert-walker,"Albert Walker is an indica-dominant hybrid with unknown origins, but is thought to have descended from Afghan Skunk and bred in the Pacific Northwest. Evidence of its lineage is found in its sour lemon and skunky smell and heavy full-body effects that can last for several hours. Albert Walker’s euphoric and relaxing qualities make it a go-to strain for patients treating depression and anxiety, and may also have benefits for chronic pain and appetite loss. This clone-only strain may come as a challenge for some growers as the plants tend to require frequent attention and maintenance. However, the high yields following its 8-week flowering cycle could be considered a satisfactory reward.",4,4.5,4,Earthy,Tobacco,,Creative,60.0,Euphoric,66.7,Happy,100.0,Relaxed,66.7,Sleepy,73.3,Depression,78.6,Headaches,28.6,Insomnia,64.3,Pain,92.9,Stress,28.6,Migraines,Arthritis,Fibromyalgia,PTSD,,Dry Mouth,64.3,Dry Eyes,50.0,,,,,,,"Seattle, WA","Tacoma, WA","Black Diamond, WA","Lynnwood, WA","Mercer Island, WA","Portland, OR",,,,
05/04/2014,17:26:23,Alien OG,Hybrid,http://www.leafly.com/hybrid/alien-og,Alien OG is a cross between Tahoe OG and Alien Kush.  ,90,4.1,70,Pine,Sweet,Earthy,Creative,56.3,Euphoric,91.3,Happy,61.2,Relaxed,67.4,Uplifted,67.6,Depression,38.3,Insomnia,47.1,Nausea,20.0,Pain,56.8,Stress,72.1,Anxiety,Migraines,PTSD,Arthritis,ADD/ADHD,Dizzy,8.8,Dry Mouth,32.5,Dry Eyes,25.9,Headache,3.5,Paranoid,9.8,"Los Angeles, CA","Denver, CO","Portland, OR","Seattle, WA","Colorado Springs, CO","San Francisco, CA","San Jos, CA","Snohomish, WA","Vancouver, BC","Avon, WA"
05/04/2014,17:26:24,Alohaberry,Hybrid,http://www.leafly.com/hybrid/alohaberry,"Originating from the tropical islands of Hawaii, Alohaberry releases a pleasant aroma and taste of tropical berries. It is known for its unique sweet taste and because it is an equal hybrid, the effects are both mind and body. ",17,4.3,13,,,,Creative,25.8,Energetic,28.5,Euphoric,28.3,Happy,26.5,Uplifted,24.7,Depression,16.4,Muscle Spasms,11.1,Nausea,18.4,Pain,26.5,Stress,44.9,Anxiety,Migraines,,,,Dry Mouth,31.1,Dry Eyes,19.2,Paranoid,5.6,,,,,,,,,,,,,,
05/04/2014,17:26:24,Alpha OG,Hybrid,http://www.leafly.com/hybrid/alpha-og,"Alpha OG from Alpha Medic is an OG Kush phenotype that took 2nd place in the 2014 Los Angeles Cannabis Cup. Its thick layer of crystal trichomes helps to explain why this pungent, pine-scented strain consistently tests over 20% THC when grown optimally. Conditions best treated with high-THC strains like Alpha OG include sleep apnea, appetite and weight loss, nausea, and chronic pain. ",1,4.5,0,,,,Giggly,25.0,Happy,25.0,Hungry,25.0,Tingly,25.0,,,Depression,25.0,Pain,25.0,,,,,,,Anxiety,,,,,Dizzy,25.0,Dry Eyes,25.0,Dry Mouth,25.0,,,,,"Los Angeles, CA",,,,,,,,,
05/04/2014,17:26:24,Ambrosia,Hybrid,http://www.leafly.com/hybrid/ambrosia,"Stemming from her parents, God Bud and Burmese, the Ambrosia strain is a high that will hit you almost instantaneously and will be felt throughout your body. Her mother, Burmese is a sativa from the Mighty Mite Seed Company and was voted #1 People's Choice at the Cannabis Culture Toker's Bowl in 2002. For dad, God Bud from Jordan of the Islands, is a mostly indica plant, popular for it's tropical sweet flavor. Ambrosia produces a large amount of dense and sticky buds with yellow leaves and orange hairs. ",15,3.9,11,Lavender,Pine,Pineapple,Creative,84.0,Euphoric,95.4,Focused,63.5,Happy,87.4,Uplifted,100.0,Depression,43.8,Fatigue,41.9,Insomnia,45.8,Pain,67.7,Stress,81.2,Anxiety,ADD/ADHD,Migraines,PMS,,Dizzy,21.9,Dry Mouth,65.8,Dry Eyes,51.9,Headache,3.8,Paranoid,21.9,"Los Angeles, CA","Vancouver, BC",,,,,,,,
05/04/2014,17:26:25,Amethyst,Hybrid,http://www.leafly.com/hybrid/amethyst,Amethyst marijuana is a cross of Lavender and Afghani Hawaiian with a deep purple color.  Strong and pungent smell with a nice taste will provide you with a nice and relaxing high.,11,4,7,Diesel,Lavender,Pine,Aroused,77.5,Euphoric,100.0,Happy,78.0,Talkative,51.7,Uplifted,58.9,Insomnia,8.3,Muscle Spasms,2.8,Nausea,13.9,Pain,5.6,Stress,63.9,Anxiety,Migraines,PMS,,,Dry Mouth,33.3,Dry Eyes,30.6,Headache,27.8,Paranoid,27.8,,,,,,,,,,,,
05/04/2014,17:26:26,Amnesia Haze,Hybrid,http://www.leafly.com/hybrid/amnesia-haze,"A mostly sativa hybrid, Amnesia Haze won first prize a the Hightimes Cannabis Cup in '04.  Sativa looks, aroma, and high.",314,4.2,210,Lemon,Citrus,Earthy,Creative,56.3,Euphoric,100.0,Giggly,54.0,Happy,93.4,Uplifted,82.8,Depression,45.8,Fatigue,18.5,Insomnia,23.4,Pain,30.3,Stress,60.3,Anxiety,Migraines,ADD/ADHD,PMS,Fibromyalgia,Dizzy,19.7,Dry Mouth,68.4,Dry Eyes,34.4,Headache,8.5,Paranoid,22.0,"Durango, CO","Portland, OR","Seattle, WA","Barcelona, Catalonia, Spain","Bellingham, WA","Black Canyon City, AZ","Crested Butte, CO","Denver, CO","Everett, WA","Jackson, MI"
05/04/2014,17:26:26,Animal Cookies,Hybrid,http://www.leafly.com/hybrid/animal-cookies,"Animal Cookies is the child of the legendary hybrid marijuana strains Girl Scout Cookies and Fire OG. This clone-only strain flowers in 9-10 weeks, and grows into dense, frosty green buds tipped with purple. True to its name, Animal Cookies has a sweet, sour aroma with heavy full-body effects that will impress any veteran consumer. This potent medicine might be overkill for mild symptoms, but its ability to obliterate severe pain and insomnia is unprecedented.",23,4.3,16,Earthy,Pungent,Flowery,Euphoric,73.3,Happy,82.2,Hungry,41.7,Relaxed,98.3,Tingly,41.7,Depression,57.2,Fatigue,31.7,Lack of Appetite,26.7,Pain,31.1,Stress,52.8,Anxiety,ADD/ADHD,Bipolar Disorder,Gastrointestinal Disorder,Migraines,Anxious,5.6,Dry Mouth,36.7,Dry Eyes,21.7,Paranoid,5.6,,,"Portland, OR","Los Angeles, CA","Walnut Creek, CA","Anaheim, CA","Cotati, CA","Fairfield, CA","Jackson, MI","Newport Beach, CA","Phoenix, AZ","Pleasant Hill, CA"
05/04/2014,17:26:27,Apollo 11,Hybrid,http://www.leafly.com/hybrid/apollo-11,"Apollo 11 is a potent hybrid cannabis strain with strong cerebral effects that might just have your head feeling like it’s making a moon landing. It’s another strain created by now-retired breeders Brothers Grimm and is the half-sister to another heady sativa, Apollo 13. Apollo 11 also has Genius as a father, but was crossed with Cinderella 99 to create this uplifting strain. This Apollo shares the family trait of an extremely fast flowering time, usually before 8 weeks. There is some variety among plants, but in general they will stay shorter and develop lots of branches and bud sites. The resinous flowers will have a strong, sharp citrus aroma and a slightly subtler lemon flavor. Effective for treating stress and moderate pain, for a few hours this strain will give you a first-class trip out of this world.",32,4,21,Skunk,Sweet,Citrus,Creative,45.5,Euphoric,81.1,Hungry,36.1,Relaxed,55.6,Sleepy,50.0,Fatigue,44.7,Insomnia,27.3,Nausea,35.1,Pain,28.3,Stress,61.6,Anxiety,Arthritis,Fibromyalgia,Migraines,,Anxious,25.0,Dry Mouth,25.8,Dry Eyes,21.2,Headache,32.1,Paranoid,11.9,,,,,,,,,,
05/04/2014,17:26:27,Apollo 13,Hybrid,http://www.leafly.com/hybrid/apollo-13,"Apollo 13 consistently receives quite a bit of praise that has come to be expected with strains created by now-retired breeders The Brothers Grimm. A cross between two of their other successful strains, P75 and Genius, this strain has a decorated lineage. Apollo 13 has the distinction of being especially rare as it is said that only 500 seeds came from the original stock and the few cuttings are the stuff of legend. This plant is less finicky than most and is often recommended for new grower. It also flowers very quickly at 7-8 weeks, producing large sticky buds. Apollo 13’s aroma is unique and very pungent. Its scent has been described as peppery and earthy with a punch of both sour fruit and citrus, while the taste takes on the herbal notes of tea with a skunky aftertaste. As its name suggests, this strain will have your head in the clouds as its effects are cerebral and energizing. While the more popular version of this hybrid is the sativa-dominant plant, be aware that an indica-dominant version is also out there.",27,4.2,12,Sweet,,,Aroused,45.7,Energetic,43.8,Euphoric,58.7,Focused,46.5,Uplifted,69.0,Depression,44.1,Lack of Appetite,21.3,Nausea,18.9,Pain,22.5,Stress,82.3,Anxiety,Migraines,ADD/ADHD,Bipolar Disorder,Arthritis,Dizzy,15.8,Dry Mouth,41.2,Dry Eyes,35.0,Headache,12.5,Paranoid,6.7,"Denver, CO","Everett, WA","Issaquah, WA","Junction City, WA","Lansing, MI","Salem, OR","San Diego, CA","Ypsilanti, MI",,
05/04/2014,17:26:27,Appalachia,Hybrid,http://www.leafly.com/hybrid/appalachia,"Appalachia is a hybrid cross between Green Crack and Tres Dawg bred by High & Lonesome Seeds. A layer of white, cloudy trichomes gives the buds a sage green color with darker leaves and fiery hairs peeking out from underneath. With an aroma of earthy pine and subtle fruit, Appalachia delivers a dreamy and yet functional cerebral buzz paired with relaxing full-body effects. Sensory perception and appetite are sharpened while pain and other symptoms dull, making Appalachia a coveted strain among medical patients and recreational consumers alike.",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2014,17:26:28,Armageddon,Hybrid,http://www.leafly.com/hybrid/armageddon,"Armageddon sounds pretty intimidating and while this strain is potent, consumers come down from its intense mental lift to find the world still exists—it just feels a little more relaxing. This strain’s plants flower quickly at 8 weeks and produce high yields of multi-colored buds that smell strongly of woodsy citrus. The citrus notes carry over into the taste, which is diverse and includes cheese and some fruitiness as well. Armageddon tends to have medium-high to high THC levels, packing a powerful punch for some consumers while others find the initial head effects great for day use and stimulating conversation. Eventually Armageddon mellows into solid body relaxation to finish off its exceptionally long buzz.",11,3.7,8,Earthy,,,Euphoric,100.0,Happy,48.1,Hungry,48.1,Relaxed,62.0,Uplifted,53.5,Depression,32.5,Insomnia,21.7,Nausea,51.7,Pain,76.7,Stress,49.2,Anxiety,Phantom Limb Pain,,,,Dizzy,5.0,Dry Mouth,21.7,Dry Eyes,7.5,Paranoid,2.5,,,"Denver, CO","Junction City, WA",,,,,,,,
05/04/2014,17:26:28,Atomic Northern Lights,Hybrid,http://www.leafly.com/hybrid/atomic-northern-lights,"Atomic Northern Lights has a history of world travel. In the 1980s, Afghani indica seeds were brought to the U.S. and bred with Thai Haze. The result was known as Northern Lights, a three-time Cannabis Cup winner during its stay in Holland, where it was developed and stabilized by Sensi. Northern Lights then went to Canada and Dr. Atomic Seeds recrossed it with its own distant relatives. The result was an indica-dominant strain with fast flowering times (approximately 8 weeks), short stocky plants, and a mind/body sensation with an uplifting effect. Atomic Northern Lights' scent has been described as pungent and the strain has a sweet flavor.",44,4.1,41,Skunk,Sweet,Ammonia,Aroused,87.7,Energetic,38.0,Euphoric,64.8,Happy,53.5,Uplifted,44.3,Depression,17.7,Fatigue,10.7,Insomnia,26.1,Pain,14.1,Stress,29.0,Anxiety,Migraines,ADD/ADHD,Bipolar Disorder,PMS,Dizzy,13.7,Dry Mouth,31.1,Dry Eyes,10.1,Headache,3.0,Paranoid,13.4,"Concord, CA","Everett, WA","Peoria, AZ","San Diego, CA","San Jose, CA","Santa Ana, CA","Santa Rosa, CA","Seattle, WA","Vallejo, CA",
05/04/2014,17:26:29,Avalon,Hybrid,http://www.leafly.com/hybrid/avalon,A selectively bred cross between Afghani and Blueberry.  Avalon has strong sedating effects with a hashy taste.,6,3.8,2,Earthy,Nutty,Sweet,Aroused,100.0,Focused,64.9,Hungry,8.1,Relaxed,64.9,Tingly,21.6,Insomnia,4.2,Nausea,33.3,Pain,58.3,Stress,8.3,,,Anxiety,Migraines,PMS,,,Dizzy,29.2,Dry Mouth,29.2,Headache,4.2,Paranoid,29.2,,,,,,,,,,,,
05/04/2014,17:26:29,Avi-Dekel,Hybrid,http://www.leafly.com/hybrid/avi-dekel,"Avi-Dekel is a sativa-dominant strain developed by Tikun Olam to contain high levels of CBD and almost no THC. Its CBD content, reaching as high as 15.8 percent, is intended to treat inflammation as well as sleep and digestive disorders. Avi-Dekel is ideal for patients seeking relief without the psychoactive effects of THC.",1,5,0,Chestnut,Earthy,Nutty,Aroused,50.0,Energetic,50.0,Talkative,50.0,Uplifted,50.0,,,Depression,100.0,Fatigue,100.0,Lack of Appetite,50.0,Muscle Spasms,50.0,Stress,100.0,ADD/ADHD,Anxiety,Tourette's Syndrome,,,Dry Mouth,50.0,,,,,,,,,,,,,,,,,,
